ParticipantName,Trial,Target,Age,MCDI_Total,SamplesInAOI,SamplesTotal,Prop
ANCAT18,FamiliarBird,Animate,18.02,55,92,256,0.359375
ANCAT18,FamiliarBottle,Inanimate,18.02,55,0,287,0
ANCAT22,FamiliarBird,Animate,20.84,56,273,316,0.8639240506329114
ANCAT22,FamiliarBottle,Inanimate,20.84,56,86,322,0.2670807453416149
ANCAT22,FamiliarDog,Animate,20.84,56,219,275,0.7963636363636364
ANCAT22,FamiliarHorse,Animate,20.84,56,226,317,0.7129337539432177
ANCAT22,FamiliarSpoon,Inanimate,20.84,56,98,323,0.30340557275541796
ANCAT23,FamiliarBird,Animate,18.25,7,242,310,0.7806451612903226
ANCAT23,FamiliarBottle,Inanimate,18.25,7,215,295,0.7288135593220338
ANCAT23,FamiliarCow,Animate,18.25,7,218,295,0.7389830508474576
ANCAT23,FamiliarDog,Animate,18.25,7,330,330,1
ANCAT23,FamiliarHorse,Animate,18.25,7,238,326,0.7300613496932515
ANCAT23,FamiliarSpoon,Inanimate,18.25,7,205,300,0.6833333333333333
ANCAT26,FamiliarBottle,Inanimate,18.31,10,173,305,0.5672131147540984
ANCAT26,FamiliarCow,Animate,18.31,10,234,290,0.8068965517241379
ANCAT26,FamiliarHorse,Animate,18.31,10,182,305,0.5967213114754099
ANCAT26,FamiliarSpoon,Inanimate,18.31,10,124,292,0.4246575342465753
ANCAT39,FamiliarBird,Animate,21.4,41,258,314,0.821656050955414
ANCAT39,FamiliarBottle,Inanimate,21.4,41,65,306,0.21241830065359477
ANCAT39,FamiliarCow,Animate,21.4,41,288,311,0.9260450160771704
ANCAT39,FamiliarDog,Animate,21.4,41,270,330,0.8181818181818182
ANCAT39,FamiliarHorse,Animate,21.4,41,305,319,0.9561128526645768
ANCAT39,FamiliarSpoon,Inanimate,21.4,41,52,325,0.16
ANCAT45,FamiliarBird,Animate,21.86,31,302,326,0.9263803680981595
ANCAT45,FamiliarHorse,Animate,21.86,31,163,324,0.5030864197530864
ANCAT45,FamiliarSpoon,Inanimate,21.86,31,198,327,0.6055045871559633
ANCAT50,FamiliarBird,Animate,19.4,45,257,287,0.8954703832752613
ANCAT50,FamiliarHorse,Animate,19.4,45,294,328,0.8963414634146342
ANCAT50,FamiliarSpoon,Inanimate,19.4,45,229,318,0.720125786163522
ANCAT53,FamiliarCow,Animate,18.84,19,195,315,0.6190476190476191
ANCAT53,FamiliarHorse,Animate,18.84,19,270,325,0.8307692307692308
ANCAT53,FamiliarSpoon,Inanimate,18.84,19,229,302,0.7582781456953642
ANCAT55,FamiliarBottle,Inanimate,19.63,13,67,284,0.23591549295774647
ANCAT55,FamiliarCow,Animate,19.63,13,309,309,1
